,expected,response,precision,rt,trial,tache,participant,ordre
0,same,same,1.0,1200.4617999773473,1.0,1.0,1,123
1,different,different,1.0,841.4807000663131,2.0,1.0,1,123
2,same,same,1.0,1070.501200039871,3.0,1.0,1,123
3,same,same,1.0,794.7261999361217,4.0,1.0,1,123
4,different,different,1.0,607.6545000541955,5.0,1.0,1,123
5,different,different,1.0,1330.7428000262007,6.0,1.0,1,123
6,same,same,1.0,1112.115200026892,7.0,1.0,1,123
7,different,different,1.0,1283.2230000058191,8.0,1.0,1,123
8,different,different,1.0,906.0759999556468,9.0,1.0,1,123
9,different,different,1.0,610.5674999998882,10.0,1.0,1,123
10,different,different,1.0,974.943400011398,11.0,1.0,1,123
11,different,different,1.0,798.0500999838114,12.0,1.0,1,123
12,same,same,1.0,778.1951999058947,13.0,1.0,1,123
13,different,different,1.0,732.6266000745818,14.0,1.0,1,123
14,different,different,1.0,508.37420008610934,15.0,1.0,1,123
15,same,same,1.0,874.4593999581411,16.0,1.0,1,123
16,different,different,1.0,611.1364000244066,17.0,1.0,1,123
17,different,different,1.0,779.6092999633402,18.0,1.0,1,123
18,different,different,1.0,784.1055999742821,19.0,1.0,1,123
19,same,same,1.0,608.7696000467986,20.0,1.0,1,123
20,different,different,1.0,748.6590000335127,21.0,1.0,1,123
21,different,different,1.0,584.8333000903949,22.0,1.0,1,123
22,same,same,1.0,608.8574000168592,23.0,1.0,1,123
23,different,different,1.0,838.7000999646261,24.0,1.0,1,123
24,different,different,1.0,637.2258999617769,25.0,1.0,1,123
25,same,same,1.0,690.5559999868274,26.0,1.0,1,123
26,different,different,1.0,657.7172999968752,27.0,1.0,1,123
27,different,different,1.0,949.447700055316,28.0,1.0,1,123
28,same,same,1.0,574.6753000421451,29.0,1.0,1,123
29,different,different,1.0,677.8608999447897,30.0,1.0,1,123
30,same,same,1.0,689.7316999966279,31.0,1.0,1,123
31,same,same,1.0,620.0787000125274,32.0,1.0,1,123
32,different,different,1.0,614.3122999928892,33.0,1.0,1,123
33,same,same,1.0,612.814599997364,34.0,1.0,1,123
34,same,same,1.0,654.4843000592664,35.0,1.0,1,123
35,same,same,1.0,950.3812999464571,36.0,1.0,1,123
36,different,different,1.0,595.742900040932,37.0,1.0,1,123
37,same,same,1.0,708.5638000862673,38.0,1.0,1,123
38,same,same,1.0,851.3501000124961,39.0,1.0,1,123
39,different,different,1.0,637.9954000003636,40.0,1.0,1,123
40,different,different,1.0,732.0224000141025,41.0,1.0,1,123
41,same,same,1.0,785.589599981904,42.0,1.0,1,123
42,different,different,1.0,839.3602001015097,43.0,1.0,1,123
43,different,different,1.0,651.8694999394938,44.0,1.0,1,123
44,different,different,1.0,960.1215000730008,45.0,1.0,1,123
45,same,same,1.0,811.1434000311419,46.0,1.0,1,123
46,same,same,1.0,1043.9864000072705,47.0,1.0,1,123
47,different,different,1.0,605.4417999694124,48.0,1.0,1,123
48,same,same,1.0,735.0875999545678,49.0,1.0,1,123
49,same,same,1.0,728.5246000392362,50.0,1.0,1,123
50,different,different,1.0,638.3737999713048,51.0,1.0,1,123
51,same,same,1.0,656.6189000150189,52.0,1.0,1,123
52,different,different,1.0,706.021000049077,53.0,1.0,1,123
